;¸½¼Ó±¬ÂÊ£¬¹ÖÌ«ÉÙ¿É´Ó°ÑÕâÀï¼Óµ½MonGen.txtÎÄ¼þÄÚÈÝºóÃæ
´úÂë  x     y     Ãû³Æ          ·¶Î§  ÊýÁ¿  Ê±¼ä
D5062 63    41    ×æÂêµñÏñ        2     1     3
D5062 63    41    Ð¨¶ê            2     2     5
D5062 63    41    Ð¨¶ê            2     1     5
D5062 63    41    ×æÂê¹­¼ýÊÖ      2     2     3
D5062 89    41    ×æÂêµñÏñ        2     1     3
D5062 89    41    ×æÂêÎÀÊ¿        2     1     3
D5062 89    41    Ð¨¶ê            2     2     5
D5062 89    41    Ð¨¶ê            2     1     5
D5062 89    41    ×æÂê¹­¼ýÊÖ      2     1     3
D5062 12    74    ×æÂêµñÏñ        2     1     3
D5062 12    74    ×æÂêÎÀÊ¿        2     1     3
D5062 12    74    Ð¨¶ê            2     2     5
D5062 12    74    Ð¨¶ê            2     1     5
D5062 12    74    ×æÂê¹­¼ýÊÖ      2     1     3
D5062 37    73    ×æÂêµñÏñ        2     1     3
D5062 37    73    ×æÂêÎÀÊ¿        2     1     3
D5062 37    73    Ð¨¶ê            2     2     5
D5062 37    73    ½ÇÓ¬            2     1     5
D5062 37    73    ×æÂê¹­¼ýÊÖ      2     1     3
D5062 63    73    ×æÂêµñÏñ        2     1     3
D5062 63    73    ×æÂêÎÀÊ¿        2     1     3
D5062 63    73    Ð¨¶ê            2     2     5
D5062 63    73    Ð¨¶ê            2     1     5
D5062 63    73    ×æÂê¹­¼ýÊÖ      2     1     3
D5062 87    73    ×æÂêµñÏñ        2     1     3
D5062 87    73    ×æÂêÎÀÊ¿        2     1     3
D5062 87    73    Ð¨¶ê            2     2     5
D5062 87    73    Ð¨¶ê            2     1     5
D5062 87    73    ×æÂê¹­¼ýÊÖ      2     2     3
D5062 50    50    ×æÂêµñÏñ0       50    1     120
D5062 50    50    ×æÂêÎÀÊ¿0       50    1     120
D5062 50    50    ×æÂê¹­¼ýÊÖ0     50    1     120
D5063 11    13    ×æÂêµñÏñ        2     1     3
D5063 11    13    ×æÂê¹­¼ýÊÖ      2     1     3
D5063 11    13    ×æÂêÎÀÊ¿        2     1     3
D5063 11    13    Ð¨¶ê            2     2     5
D5063 11    13    Ð¨¶ê            2     1     5
D5063 37    13    ×æÂêµñÏñ        2     1     3
D5063 37    13    ×æÂê¹­¼ýÊÖ      2     1     3
D5063 37    13    ×æÂêÎÀÊ¿        2     1     3
D5063 37    13    Ð¨¶ê            2     2     5
D5063 37    13    Ð¨¶ê            2     1     5
D5063 63    13    ×æÂêµñÏñ        2     1     3
D5063 63    13    ×æÂêÎÀÊ¿        2     1     3
D5063 63    13    Ð¨¶ê            2     2     5
D5063 63    13    Ð¨¶ê            2     1     5
D5063 63    13    ×æÂê¹­¼ýÊÖ      2     1     3
D5063 88    14    ×æÂêµñÏñ        2     1     3
D5063 88    14    ×æÂêÎÀÊ¿        2     1     3
D5063 88    14    Ð¨¶ê            2     2     5
D5063 88    14    Ð¨¶ê            2     1     5
D5063 88    14    ×æÂê¹­¼ýÊÖ      2     1     3
D5063 11    41    ×æÂêµñÏñ        2     1     3
D5063 11    41    ×æÂêÎÀÊ¿        2     1     3
D5063 11    41    Ð¨¶ê            2     2     5
D5063 11    41    Ð¨¶ê            2     1     5
D5063 11    41    ×æÂê¹­¼ýÊÖ      2     1     3
D5063 37    41    ×æÂêÎÀÊ¿        2     1     3
D5063 37    41    ×æÂêµñÏñ        2     1     3
D5063 37    41    Ð¨¶ê            2     2     5
D5063 37    41    ½ÇÓ¬            2     1     5
D5063 37    41    ×æÂêÎÀÊ¿        2     1     3
D5063 63    41    ×æÂêµñÏñ        2     1     3
D5063 63    41    Ð¨¶ê            2     2     5
D5063 63    41    Ð¨¶ê            2     1     5
D5063 63    41    ×æÂê¹­¼ýÊÖ      2     1     3
D5063 63    41    ×æÂêÎÀÊ¿        2     1     3
D5063 89    41    ×æÂêµñÏñ        2     1     3
D5063 89    41    ×æÂêÎÀÊ¿        2     1     3
D5063 89    41    Ð¨¶ê            2     2     5
D5063 89    41    Ð¨¶ê            2     1     5
D5063 89    41    ×æÂê¹­¼ýÊÖ      2     1     3
D5063 12    74    ×æÂêµñÏñ        2     1     3
D5063 12    74    ×æÂêÎÀÊ¿        2     1     3
D5063 12    74    Ð¨¶ê            2     2     5
D5063 12    74    Ð¨¶ê            2     1     5
D5063 12    74    ×æÂê¹­¼ýÊÖ      2     1     3
D5063 37    73    ×æÂêµñÏñ        2     1     3
D5063 37    73    ×æÂêÎÀÊ¿        2     1     3
D5063 37    73    Ð¨¶ê            2     2     5
D5063 37    73    Ð¨¶ê            2     1     5
D5063 37    73    ×æÂê¹­¼ýÊÖ      2     1     3
D5063 63    73    ×æÂêµñÏñ        2     1     3
D5063 63    73    ×æÂêÎÀÊ¿        2     1     3
D5063 63    73    Ð¨¶ê            2     2     5
D5063 63    73    Ð¨¶ê            2     1     5
D5063 63    73    ×æÂê¹­¼ýÊÖ      2     1     3
D5063 87    73    ×æÂêµñÏñ        2     1     3
D5063 87    73    ×æÂêÎÀÊ¿        2     1     3
D5063 87    73    Ð¨¶ê            2     2     5
D5063 87    73    ½ÇÓ¬            2     1     5
D5063 87    73    ×æÂê¹­¼ýÊÖ      2     1     3
D5063 50    50    ×æÂêµñÏñ0       50    1     120
D5063 50    50    ×æÂêÎÀÊ¿0       50    1     120
D5063 50    50    ×æÂê¹­¼ýÊÖ0     50    1     120
D5064 11    13    ×æÂêµñÏñ        2     1     3
D5064 11    13    ×æÂê¹­¼ýÊÖ      2     1     3
D5064 11    13    ×æÂêÎÀÊ¿        2     1     3
D5064 11    13    Ð¨¶ê            2     2     5
D5064 11    13    Ð¨¶ê            2     1     5
D5064 37    13    ×æÂêµñÏñ        2     1     3
D5064 37    13    ×æÂê¹­¼ýÊÖ      2     1     3
D5064 37    13    ×æÂêÎÀÊ¿        2     1     3
D5064 37    13    Ð¨¶ê            2     2     5
D5064 37    13    Ð¨¶ê            2     1     5
D5064 63    13    ×æÂêµñÏñ        2     1     3
D5064 63    13    ×æÂêÎÀÊ¿        2     1     3
D5064 63    13    ×æÂêÎÀÊ¿10      2     1     45
D5064 63    13    Ð¨¶ê            2     2     5
D5064 63    13    Ð¨¶ê           2     1     5
D5064 63    13    ×æÂê¹­¼ýÊÖ      2     1     3
D5064 88    14    ×æÂêµñÏñ        2     1     3
D5064 88    14    ×æÂêÎÀÊ¿        2     1     3
D5064 88    14    Ð¨¶ê            2     2     5
D5064 88    14    ½ÇÓ¬            2     1     5
D5064 88    14    ×æÂê¹­¼ýÊÖ      2     1     3
D5064 11    41    ×æÂêµñÏñ        2     1     3
D5064 11    41    ×æÂêÎÀÊ¿        2     1     3
D5064 11    41    Ð¨¶ê            2     2     5
D5064 11    41    Ð¨¶ê            2     1     5
D5064 11    41    ×æÂê¹­¼ýÊÖ      2     1     3
D5064 37    41    ×æÂêÎÀÊ¿        2     1     3
D5064 37    41    ×æÂêµñÏñ        2     1     3
D5064 37    41    Ð¨¶ê            2     2     5
D5064 37    41    ½ÇÓ¬            2     1     5
D5064 37    41    ×æÂêÎÀÊ¿        2     1     3
D5064 63    41    ×æÂêµñÏñ        2     1     3
D5064 63    41    Ð¨¶ê            2     2     5
D5064 63    41    Ð¨¶ê            2     1     5
D5064 63    41    ×æÂê¹­¼ýÊÖ      2     1     3
D5064 63    41    ×æÂêÎÀÊ¿        2     1     3
D5064 89    41    ×æÂêµñÏñ        2     1     3
D5064 89    41    ×æÂêÎÀÊ¿        2     1     3
D5064 89    41    Ð¨¶ê            2     2     5
D5064 89    41    Ð¨¶ê            2     1     5
D5064 89    41    ×æÂê¹­¼ýÊÖ      2     1     3
D5064 12    74    ×æÂêµñÏñ        2     1     3
D5064 12    74    ×æÂêÎÀÊ¿        2     1     3
D5064 12    74    Ð¨¶ê            2     2     5
D5064 12    74    Ð¨¶ê            2     1     5
D5064 12    74    ×æÂê¹­¼ýÊÖ      2     1     3
D5064 37    73    ×æÂêµñÏñ        2     1     3
D5064 37    73    ×æÂêÎÀÊ¿        2     1     3
D5064 37    73    Ð¨¶ê            2     2     5
D5064 37    73    ½ÇÓ¬            2     1     5
D5064 37    73    ×æÂê¹­¼ýÊÖ      2     1     3
D5064 63    73    ×æÂêµñÏñ        2     1     3
D5064 63    73    ×æÂêÎÀÊ¿        2     1     3
D5064 63    73    Ð¨¶ê            2     2     5
D5064 63    73    Ð¨¶ê            2     1     5
D5064 63    73    ×æÂê¹­¼ýÊÖ      2     1     3
D5064 87    73    ×æÂêµñÏñ        2     1     3
D5064 87    73    ×æÂêÎÀÊ¿        2     1     3
D5064 87    73    Ð¨¶ê            2     2     5
D5064 87    73    ½ÇÓ¬            2     1     5
D5064 87    73    ×æÂê¹­¼ýÊÖ      2     1     3
D5064 50    50    ×æÂêµñÏñ3       50    1     120
D5064 50    50    ×æÂêÎÀÊ¿3       50    1     120
D5064 50    50    ×æÂê¹­¼ýÊÖ3     50    1     120

D5065 11    13    ×æÂêµñÏñ        2     1     3
D5065 11    13    ×æÂê¹­¼ýÊÖ      2     1     3
D5065 11    13    ×æÂêÎÀÊ¿        2     1     3
D5065 11    13    Ð¨¶ê            2     2     5
D5065 11    13    Ð¨¶ê            2     1     5
D5065 37    13    ×æÂêµñÏñ        2     1     3
D5065 37    13    ×æÂê¹­¼ýÊÖ      2     1     3
D5065 37    13    ×æÂêÎÀÊ¿        2     1     3
D5065 37    13    Ð¨¶ê            2     2     5
D5065 37    13    ½ÇÓ¬            2     1     5
D5065 63    13    ×æÂêµñÏñ        2     1     3
D5065 63    13    ×æÂêÎÀÊ¿        2     1     3
D5065 63    13    Ð¨¶ê            2     2     5
D5065 63    13    Ð¨¶ê            2     1     5
D5065 63    13    ×æÂê¹­¼ýÊÖ      2     1     3
D5065 88    14    ×æÂêµñÏñ        2     1     3
D5065 88    14    ×æÂêÎÀÊ¿        2     1     3
D5065 88    14    Ð¨¶ê            2     2     5
D5065 88    14    ½ÇÓ¬            2     1     5
D5065 88    14    ×æÂê¹­¼ýÊÖ      2     1     3
D5065 11    41    ×æÂêµñÏñ        2     1     3
D5065 11    41    ×æÂêÎÀÊ¿        2     1     3
D5065 11    41    Ð¨¶ê            2     2     5
D5065 11    41    Ð¨¶ê            2     1     5
D5065 11    41    ×æÂê¹­¼ýÊÖ      2     1     3
D5065 37    41    ×æÂêÎÀÊ¿        2     1     3
D5065 37    41    ×æÂêÎÀÊ¿10      2     1     45
D5065 37    41    ×æÂêµñÏñ        2     1     3
D5065 37    41    Ð¨¶ê            2     2     5
D5065 37    41    Ð¨¶ê            2     1     5
D5065 37    41    ×æÂêÎÀÊ¿        2     1     3
D5065 89    41    ×æÂêµñÏñ        2     1     3
D5065 63    41    ×æÂêÎÀÊ¿        2     1     3
D5065 89    41    ×æÂêÎÀÊ¿        2     1     3
D5065 89    41    Ð¨¶ê            2     2     5
D5065 89    41    ½ÇÓ¬            2     1     5
D5065 89    41    ×æÂê¹­¼ýÊÖ      2     1     3
D5065 12    74    ×æÂêµñÏñ        2     1     3
D5065 12    74    ×æÂêÎÀÊ¿        2     1     3
D5065 12    74    Ð¨¶ê            2     2     5
D5065 12    74    Ð¨¶ê            2     1     5
D5065 12    74    ×æÂê¹­¼ýÊÖ      2     1     3
D5065 37    73    ×æÂêµñÏñ        2     1     3
D5065 37    73    ×æÂêÎÀÊ¿        2     1     3
D5065 37    73    Ð¨¶ê            2     2     5
D5065 37    73    Ð¨¶ê            2     1     5
D5065 37    73    ×æÂê¹­¼ýÊÖ      2     1     3
D5065 63    73    ×æÂêµñÏñ        2     1     3
D5065 63    73    ×æÂêÎÀÊ¿        2     1     3
D5065 63    73    Ð¨¶ê            2     2     5
D5065 63    73    ½ÇÓ¬            2     1     5
D5065 63    73    ×æÂê¹­¼ýÊÖ      2     1     3
D5065 87    73    ×æÂêµñÏñ        2     1     3
D5065 87    73    ×æÂêÎÀÊ¿        2     1     3
D5065 87    73    Ð¨¶ê            2     2     5
D5065 87    73    Ð¨¶ê            2     1     5
D5065 87    73    ×æÂê¹­¼ýÊÖ      2     1     3
D5065 50    50    ×æÂêµñÏñ0       50    1     120
D5065 50    50    ×æÂêÎÀÊ¿0       50    1     120
D5065 50    50    ×æÂê¹­¼ýÊÖ0     50    1     120

D5066 11    13    ×æÂêµñÏñ        2     1     3
D5066 11    13    ×æÂê¹­¼ýÊÖ      2     1     3
D5066 11    13    ×æÂêÎÀÊ¿        2     1     3
D5066 11    13    Ð¨¶ê            2     2     5
D5066 11    13    Ð¨¶ê            2     1     5
D5066 37    13    ×æÂêµñÏñ        2     1     3
D5066 37    13    ×æÂê¹­¼ýÊÖ      2     1     3
D5066 37    13    ×æÂêÎÀÊ¿        2     1     3
D5066 37    13    Ð¨¶ê            2     2     5
D5066 37    13    Ð¨¶ê            2     1     5
D5066 63    13    ×æÂêµñÏñ        2     1     3
D5066 63    13    ×æÂêÎÀÊ¿        2     1     3
D5066 63    13    Ð¨¶ê            2     2     5
D5066 63    13    ½ÇÓ¬            2     1     5
D5066 63    13    ×æÂê¹­¼ýÊÖ      2     1     3
D5066 88    14    ×æÂêµñÏñ        2     1     3
D5066 88    14    ×æÂêÎÀÊ¿        2     1     3
D5066 88    14    Ð¨¶ê            2     2     5
D5066 88    14    ½ÇÓ¬            2     1     5
D5066 88    14    ×æÂê¹­¼ýÊÖ      2     1     3
D5066 11    41    ×æÂêµñÏñ        2     1     3
D5066 11    41    ×æÂêÎÀÊ¿        2     1     3
D5066 11    41    Ð¨¶ê            2     2     5
D5066 11    41    Ð¨¶ê            2     1     5
D5066 11    41    ×æÂê¹­¼ýÊÖ      2     1     3
D5066 37    41    ×æÂêÎÀÊ¿        2     1     3
D5066 37    41    ×æÂêµñÏñ        2     1     3
D5066 37    41    Ð¨¶ê            2     2     5
D5066 37    41    Ð¨¶ê            2     1     5
D5066 37    41    ×æÂêÎÀÊ¿        2     1     3
D5066 63    41    ×æÂêµñÏñ        2     1     3
D5066 63    41    Ð¨¶ê            2     2     5
D5066 63    41    Ð¨¶ê            2     1     5
D5066 63    41    ×æÂê¹­¼ýÊÖ      2     1     3
D5066 89    41    ×æÂêµñÏñ        2     1     3
D5066 63    41    ×æÂêÎÀÊ¿        2     1     3
D5066 89    41    ×æÂêÎÀÊ¿        2     1     3
D5066 89    41    Ð¨¶ê            2     2     5
D5066 89    41    ½ÇÓ¬            2     1     5
D5066 89    41    ×æÂê¹­¼ýÊÖ      2     1     3
D5066 12    74    ×æÂêµñÏñ        2     1     3
D5066 12    74    ×æÂêÎÀÊ¿        2     1     3
D5066 12    74    ×æÂêÎÀÊ¿10      2     1     45
D5066 12    74    Ð¨¶ê            2     2     5
D5066 12    74    Ð¨¶ê            2     1     5
D5066 12    74    ×æÂê¹­¼ýÊÖ      2     1     3
D5066 37    73    ×æÂêµñÏñ        2     1     3
D5066 37    73    ×æÂêÎÀÊ¿        2     1     3
D5066 37    73    Ð¨¶ê            2     2     5
D5066 37    73    ½ÇÓ¬            2     1     5
D5066 37    73    ×æÂê¹­¼ýÊÖ      2     1     3
D5066 63    73    ×æÂêµñÏñ        2     1     3
D5066 63    73    ×æÂêÎÀÊ¿        2     1     3
D5066 63    73    Ð¨¶ê            2     2     5
D5066 63    73    Ð¨¶ê            2     1     5
D5066 63    73    ×æÂê¹­¼ýÊÖ      2     1     3
D5066 87    73    ×æÂêµñÏñ        2     1     3
D5066 87    73    ×æÂêÎÀÊ¿        2     1     3
D5066 87    73    Ð¨¶ê            2     2     5
D5066 87    73    ½ÇÓ¬            2     1     5
D5066 87    73    ×æÂê¹­¼ýÊÖ      2     1     3
D5066 50    50    ×æÂêµñÏñ0       50    1     120
D5066 50    50    ×æÂêÎÀÊ¿0       50    1     120
D5066 50    50    ×æÂê¹­¼ýÊÖ0     50    1     120

D5067 11    13    ×æÂêµñÏñ        2     1     3
D5067 11    13    ×æÂê¹­¼ýÊÖ      2     1     3
D5067 11    13    ×æÂêÎÀÊ¿        2     1     3
D5067 11    13    Ð¨¶ê            2     2     5
D5067 11    13    Ð¨¶ê            2     1     5
D5067 37    13    ×æÂêµñÏñ        2     1     3
D5067 37    13    ×æÂê¹­¼ýÊÖ      2     1     3
D5067 37    13    ×æÂêÎÀÊ¿        2     1     3
D5067 37    13    Ð¨¶ê            2     2     5
D5067 37    13    Ð¨¶ê            2     1     5
D5067 63    13    ×æÂêµñÏñ        2     1     3
D5067 63    13    ×æÂêÎÀÊ¿        2     1     3
D5067 63    13    Ð¨¶ê            2     2     5
D5067 63    13    Ð¨¶ê            2     1     5
D5067 63    13    ×æÂê¹­¼ýÊÖ      2     1     3
D5067 88    14    ×æÂêµñÏñ        2     1     3
D5067 88    14    ×æÂêÎÀÊ¿        2     1     3
D5067 88    14    Ð¨¶ê            2     2     5
D5067 88    14    ½ÇÓ¬            2     1     5
D5067 88    14    ×æÂê¹­¼ýÊÖ      2     1     3
D5067 11    41    ×æÂêµñÏñ        2     1     3
D5067 11    41    ×æÂêÎÀÊ¿        2     1     3
D5067 11    41    Ð¨¶ê            2     2     5
D5067 11    41    ½ÇÓ¬            2     1     5
D5067 11    41    ×æÂê¹­¼ýÊÖ      2     1     3
D5067 37    41    ×æÂêÎÀÊ¿        2     1     3
D5067 37    41    ×æÂêµñÏñ        2     1     3
D5067 37    41    Ð¨¶ê            2     2     5
D5067 37    41    ½ÇÓ¬            2     1     5
D5067 37    41    ×æÂêÎÀÊ¿        2     1     3
D5067 63    41    ×æÂêµñÏñ        2     1     3
D5067 63    41    Ð¨¶ê            2     2     5
D5067 63    41    ½ÇÓ¬            2     1     5
D5067 63    41    ×æÂê¹­¼ýÊÖ      2     1     3
D5067 89    41    ×æÂêµñÏñ        2     1     3
D5067 63    41    ×æÂêÎÀÊ¿        2     1     3
D5066 12    74    ×æÂêÎÀÊ¿        2     1     3
D5066 12    74    ×æÂêÎÀÊ¿10      2     1     45
D5067 89    41    Ð¨¶ê            2     2     5
D5067 89    41    ½ÇÓ¬            2     1     5
D5067 89    41    ×æÂê¹­¼ýÊÖ      2     1     3
D5067 12    74    ×æÂêµñÏñ        2     1     3
D5067 12    74    ×æÂêÎÀÊ¿        2     1     3
D5067 12    74    Ð¨¶ê            2     2     5
D5067 12    74    ½ÇÓ¬            2     1     5
D5067 12    74    ×æÂê¹­¼ýÊÖ      2     1     3
D5067 37    73    ×æÂêµñÏñ        2     1     3
D5067 37    73    ×æÂêÎÀÊ¿        2     1     3
D5067 37    73    Ð¨¶ê            2     2     5
D5067 37    73    ½ÇÓ¬            2     1     5
D5067 37    73    ×æÂê¹­¼ýÊÖ      2     1     3
D5067 63    73    ×æÂêµñÏñ        2     1     3
D5067 63    73    ×æÂêÎÀÊ¿        2     1     3
D5067 63    73    Ð¨¶ê            2     2     5
D5067 63    73    ½ÇÓ¬            2     1     5
D5067 63    73    ×æÂê¹­¼ýÊÖ      2     1     3
D5067 87    73    ×æÂêµñÏñ        2     1     3
D5067 87    73    ×æÂêÎÀÊ¿        2     1     3
D5067 87    73    Ð¨¶ê            2     2     5
D5067 87    73    ½ÇÓ¬            2     1     5
D5067 87    73    ×æÂê¹­¼ýÊÖ      2     1     3
D5067 50    50    ×æÂêµñÏñ0       50    1     120
D5067 50    50    ×æÂêÎÀÊ¿0       50    1     120
D5067 50    50    ×æÂê¹­¼ýÊÖ0     50    1     120
D5068 11    13    ×æÂêµñÏñ        2     1     3
D5068 11    13    ×æÂê¹­¼ýÊÖ      2     1     3
D5068 11    13    ×æÂêÎÀÊ¿        2     1     3
D5068 11    13    Ð¨¶ê            2     2     5
D5068 11    13    ½ÇÓ¬            2     1     5
D5068 37    13    ×æÂêµñÏñ        2     1     3
D5068 37    13    ×æÂê¹­¼ýÊÖ      2     1     3
D5068 37    13    ×æÂêÎÀÊ¿        2     1     3
D5068 37    13    Ð¨¶ê            2     2     5
D5068 37    13    ½ÇÓ¬            2     1     5
D5068 63    13    ×æÂêµñÏñ        2     1     3
D5068 63    13    ×æÂêÎÀÊ¿        2     1     3
D5068 63    13    Ð¨¶ê            2     2     5
D5068 63    13    ½ÇÓ¬            2     1     5
D5068 63    13    ×æÂê¹­¼ýÊÖ      2     1     3
D5068 88    14    ×æÂêµñÏñ        2     1     3
D5068 88    14    ×æÂêÎÀÊ¿        2     1     3
D5068 88    14    Ð¨¶ê            2     2     5
D5068 88    14    ½ÇÓ¬            2     1     5
D5068 88    14    ×æÂê¹­¼ýÊÖ      2     1     3
D5068 11    41    ×æÂêµñÏñ        2     1     3
D5068 11    41    ×æÂêÎÀÊ¿        2     1     3
D5068 11    41    Ð¨¶ê            2     2     5
D5068 11    41    ½ÇÓ¬            2     1     5
D5068 11    41    ×æÂê¹­¼ýÊÖ      2     1     3
D5068 37    41    ×æÂêÎÀÊ¿        2     1     3
D5068 37    41    ×æÂêµñÏñ        2     1     3
D5068 37    41    Ð¨¶ê            2     2     5
D5068 37    41    ½ÇÓ¬            2     1     5
D5068 37    41    ×æÂêÎÀÊ¿        2     1     3
D5068 63    41    ×æÂêµñÏñ        2     1     3
D5068 63    41    Ð¨¶ê            2     2     5
D5068 63    41    ½ÇÓ¬            2     1     5
D5068 63    41    ×æÂê¹­¼ýÊÖ      2     1     3
D5068 89    41    ×æÂêµñÏñ        2     1     3
D5068 63    41    ×æÂêÎÀÊ¿        2     1     3
D5068 89    41    ×æÂêÎÀÊ¿        2     1     3
D5068 89    41    Ð¨¶ê            2     2     5
D5068 89    41    ½ÇÓ¬            2     1     5
D5068 89    41    ×æÂê¹­¼ýÊÖ      2     1     3
D5068 12    74    ×æÂêµñÏñ        2     1     3
D5068 12    74    ×æÂêÎÀÊ¿        2     1     3
D5068 12    74    Ð¨¶ê            2     2     5
D5068 12    74    ½ÇÓ¬            2     1     5
D5068 12    74    ×æÂê¹­¼ýÊÖ      2     1     3
D5068 37    73    ×æÂêµñÏñ        2     1     3
D5068 37    73    ×æÂêÎÀÊ¿        2     1     3
D5068 37    73    Ð¨¶ê            2     2     5
D5068 37    73    ½ÇÓ¬            2     1     5
D5068 37    73    ×æÂê¹­¼ýÊÖ      2     1     3
D5068 63    73    ×æÂêµñÏñ        2     1     3
D5068 63    73    ×æÂêÎÀÊ¿        2     1     3
D5068 63    73    Ð¨¶ê            2     2     5
D5068 63    73    ½ÇÓ¬            2     1     5
D5068 63    73    ×æÂê¹­¼ýÊÖ      2     1     3
D5068 87    73    ×æÂêµñÏñ        2     1     3
D5068 87    73    ×æÂêÎÀÊ¿        2     1     3
D5068 87    73    Ð¨¶ê            2     2     5
D5068 87    73    ½ÇÓ¬            2     1     5
D5068 87    73    ×æÂê¹­¼ýÊÖ      2     1     3
D5068 50    50    ×æÂêµñÏñ0       50    1     120
D5068 50    50    ×æÂêÎÀÊ¿0       50    1     120
D5068 50    50    ×æÂê¹­¼ýÊÖ0     50    1     120
D5069 11    13    ×æÂêµñÏñ        2     1     3
D5069 11    13    ×æÂê¹­¼ýÊÖ      2     1     3
D5069 11    13    ×æÂêÎÀÊ¿        2     1     3
D5069 11    13    Ð¨¶ê            2     2     5
D5069 11    13    ½ÇÓ¬            2     1     5
D5069 37    13    ×æÂêµñÏñ        2     1     3
D5069 37    13    ×æÂê¹­¼ýÊÖ      2     1     3
D5069 37    13    ×æÂêÎÀÊ¿        2     1     3
D5069 37    13    Ð¨¶ê            2     2     5
D5069 37    13    ½ÇÓ¬            2     1     5
D5069 63    13    ×æÂêµñÏñ        2     1     3
D5069 63    13    ×æÂêÎÀÊ¿        2     1     3
D5069 63    13    Ð¨¶ê            2     2     5
D5069 63    13    ½ÇÓ¬            2     1     5
D5069 63    13    ×æÂê¹­¼ýÊÖ      2     1     3
D5069 88    14    ×æÂêµñÏñ        2     1     3
D5069 88    14    ×æÂêÎÀÊ¿        2     1     3
D5069 88    14    Ð¨¶ê            2     2     5
D5069 88    14    ½ÇÓ¬            2     1     5
D5069 88    14    ×æÂê¹­¼ýÊÖ      2     1     3
D5069 11    41    ×æÂêµñÏñ        2     1     3
D5069 11    41    ×æÂêÎÀÊ¿        2     1     3
D5069 11    41    Ð¨¶ê            2     2     5
D5069 11    41    ½ÇÓ¬            2     1     5
D5069 11    41    ×æÂê¹­¼ýÊÖ      2     1     3
D5069 37    41    ×æÂêÎÀÊ¿        2     1     3
D5069 37    41    ×æÂêµñÏñ        2     1     3
D5069 37    41    Ð¨¶ê            2     2     5
D5069 37    41    ½ÇÓ¬            2     1     5
D5069 37    41    ×æÂêÎÀÊ¿        2     1     3
D5069 63    41    ×æÂêµñÏñ        2     1     3
D5069 63    41    Ð¨¶ê            2     2     5
D5069 63    41    ½ÇÓ¬            2     1     5
D5069 63    41    ×æÂê¹­¼ýÊÖ      2     1     3
D5069 89    41    ×æÂêµñÏñ        2     1     3
D5069 63    41    ×æÂêÎÀÊ¿        2     1     3
D5069 89    41    ×æÂêÎÀÊ¿        2     1     3
D5069 89    41    Ð¨¶ê            2     2     5
D5069 89    41    ½ÇÓ¬            2     1     5
D5069 89    41    ×æÂê¹­¼ýÊÖ      2     1     3
D5069 12    74    ×æÂêµñÏñ        2     1     3
D5069 12    74    ×æÂêÎÀÊ¿        2     1     3
D5069 12    74    Ð¨¶ê            2     2     5
D5069 12    74    ½ÇÓ¬            2     1     5
D5069 12    74    ×æÂê¹­¼ýÊÖ      2     1     3
D5069 37    73    ×æÂêµñÏñ        2     1     3
D5069 37    73    ×æÂêÎÀÊ¿        2     1     3
D5069 37    73    Ð¨¶ê            2     2     5
D5069 37    73    ½ÇÓ¬            2     1     5
D5069 37    73    ×æÂê¹­¼ýÊÖ      2     1     3
D5069 63    73    ×æÂêµñÏñ        2     1     3
D5069 63    73    ×æÂêÎÀÊ¿        2     1     3
D5069 63    73    Ð¨¶ê            2     2     5
D5069 63    73    ½ÇÓ¬            2     1     5
D5069 63    73    ×æÂê¹­¼ýÊÖ      2     1     3
D5069 87    73    ×æÂêµñÏñ        2     1     3
D5069 87    73    ×æÂêÎÀÊ¿        2     1     3
D5069 87    73    Ð¨¶ê            2     2     5
D5069 87    73    ½ÇÓ¬            2     1     5
D5069 87    73    ×æÂê¹­¼ýÊÖ      2     1     3

D5069 50    50    ×æÂêµñÏñ0       50    1     120
D5069 50    50    ×æÂêÎÀÊ¿0       50    1     120
D5069 50    50    ×æÂê¹­¼ýÊÖ0     50    1     120

D5072 50    50    ×æÂêµñÏñ        50    45    8
D5072 50    50    ×æÂêÎÀÊ¿        50    45    8
D5072 50    50    ×æÂê¹­¼ýÊÖ      50    50    8
D5072 50    50    Ð¨¶ê            50    50    8
D5072 50    50    ½ÇÓ¬            50    3    8

D5072 50    50    ×æÂêµñÏñ3       50    15    10
D5072 50    50    ×æÂêÎÀÊ¿3       50    15    10
D5072 50    50    ×æÂê¹­¼ýÊÖ3     50    15   10

D5072 50    50    ×æÂêµñÏñ0       50    1     10
D5072 50    50    ×æÂêÎÀÊ¿0       50    1    10
D5072 50    50    ×æÂê¹­¼ýÊÖ0     50    1    10

D5073 50    50    ×æÂêµñÏñ        50    45    8
D5073 50    50    ×æÂêÎÀÊ¿        50    45    8
D5073 50    50    ×æÂê¹­¼ýÊÖ      50    45    8
D5073 50    50    Ð¨¶ê            50    50    8
D5073 50    50    ½ÇÓ¬            50    2    8
D5073 50    50    ×æÂêµñÏñ3       50    10    10
D5073 50    50    ×æÂêÎÀÊ¿3       50    10    10
D5073 50    50    ×æÂê¹­¼ýÊÖ3     50    10   10
D5073 50    50    ×æÂêµñÏñ0       50    1     120
D5073 50    50    ×æÂêÎÀÊ¿0       50    1     120
D5073 50    50    ×æÂê¹­¼ýÊÖ0     50    1     120

D5074 50    50    ×æÂêµñÏñ        50    45    8
